Round name,numRounds,title,status,website,projectTwitter,userGithub,projectGithub,recipient,originality,ai,smallDescription,lowReadability,lowOriginality,highAi,flagged
['Web3 Open Source Software Round'],1,DAOstar,PENDING,https://daostar.org,daostar_one,metagov,metagov,0xfF2aBEF3af9655D96Da983916e066134adea6390,,,True,False,False,False,True
['Web3 Open Source Software Round' 'Climate Solutions'],2,Carbonable,PENDING,https://carbonable.io,carbonable_io,rmzlb,Carbonable,0xE1A441138d28170fD28Ff0b649FCc5362Bf3f893,0.0,1.0,False,False,True,True,True
['Web3 Open Source Software Round' 'ENS Ecosystem'],2,Test,PENDING,https://www.testing.dev,_lolu,jesuloluwao,lolus-test,0x69f9e121702461eA52F627A6147ea3c6dc2DEF31,,,True,False,False,False,True
['Web3 Open Source Software Round' 'Web3 Social'],2,Pin Save: decentralized Pinterest,PENDING,https://evm.pinsave.app,PinSav3,pfed-prog,dspytdao,0x48294a067D1bC5a58BCbAB4b3bE329d078D9E1Af,0.8363,0.1637,False,True,False,False,True
['Web3 Open Source Software Round'],1,DeCartography,PENDING,https://decartography.com/,DeCartography,tkgshn,DeCartography,0xDfd5e88aEF6D84798Ef6D5b71DCd31B61579Af20,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,Fstar,PENDING,https://fstar.fi,Fstar_Fi,fstarprotocol,FstarFi,0xB13f3f08e43EC267a78b43ae868bf48610023738,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,Stackly,PENDING,https://stackly.eth.limo,stacklydapp,NelsonGaldeman,ImpeccableHQ,0xA578d44eF20BAaaA694C10C9DE909cA83e241Da8,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,FiatConnect,PENDING,https://fiatconnect.org,FiatConnect,silasbw,fiatconnect,0x67247467869468ED0380D0d3ae9295A020B0171b,,,True,False,False,False,True
['Web3 Open Source Software Round' 'ENS Ecosystem'],2,1Hive Gardens,PENDING,https://gardensdao.eth.limo,gardensdao,pglavin2,1Hive,0x1B8C7f06F537711A7CAf6770051A43B4F3E69A7e,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,tProof,PENDING,https://tproof.io,tproofio,70nyIT,tproofio,0x8Dc8829Efba40848659E8ee31B8Ea8aAE73F00D9,0.0,1.0,False,False,True,True,True
['Web3 Open Source Software Round'],1,useWeb3 - Web3 Developer platform,PENDING,https://www.useweb3.xyz/,useWeb3,wslyvh,useWeb3,0xA512C3cF9A63715CEd87DE5058c684cBFF9f4321,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,crypto-jobs-crawler,PENDING,https://crypto-jobs-fyi.github.io/web/,kuramorik,yury-dubinin,crypto-jobs-fyi,0x589a0D87d600a6C6fAa34c491C9e779f434bC51d,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,aikipay,PENDING,https://github.com/aikilabs/aikipay,nuel_ikwuoma,nuel-ikwuoma,aikilabs,0x2e2316088c015F4BF27D86A1458A707af536A324,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,Via | Cross-chain router,PENDING,https://via.exchange,via_protocol,serafimcloud,viaprotocol,0xdb0c831283C003686AEF40cA228e42bDAbf6674c,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,pRoots:   genomic data protocol on plasmid for bridging synbio and web3 for desci ecosystem,PENDING,https://proots.dev/,proots_desci,weitinglin,Proots-Foundation,0x120Ba33F6019b768C1Cae60c44AE7486f98dD445,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,Stake Together,PENDING,https://linktr.ee/staketogether,0xStakeTogether,0xfabricio,staketogether,0xfC48061c33F18b1C35Ee271B44cF63cCC730BFdF,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,Arm0ry Playground,PENDING,https://arm0ry.g0v.tw,arm0ry_g0v,audsssy,arm0ry,0x7Cb389201e86ac93B2beb9398613AB5Bb283ad1A,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,Taho - Open Source and Community Owned Wallet,PENDING,https://taho.xyz,taho_xyz,Naxsun,tahowallet,0x99b36fDbC582D113aF36A21EBa06BFEAb7b9bE12,,,True,False,False,False,True
['Web3 Open Source Software Round' 'Global Chinese Community beta round'],2,Decert.me,PENDING,https://decert.me,decertme,0xdwong,decert-me,0x014EeCfA2E58d4975991F46026A2332561161912,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,DefiLlama,PENDING,https://defillama.com/,DefiLlama,0xngmi,DefiLlama,0x08a3c2A819E3de7ACa384c798269B3Ce1CD0e437,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,DefiLab.xyz,PENDING,https://defi-lab.xyz/,DefiLab_xyz,fedefede8,DefiLab-xyz,0x9fe6764778db6AD5c5ED86242485d1a868a8c52A,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,neume,PENDING,https://github.com/neume-network,neumenetwork,djfnd,neume-network,0x80E451777dCD4E4a589a038A61b1dca72d718045,0.9973,0.0027,False,True,False,False,True
['Web3 Open Source Software Round' 'ENS Ecosystem'],2,beaconcha.in,PENDING,https://beaconcha.in,beaconcha_in,Buttaa,gobitfly,0x9d4E94dB689Bc471E45b0a18B7BdA36FcCeC9c3b,0.0,1.0,False,False,True,True,True
['Web3 Open Source Software Round'],1,Aurellion,PENDING,https://aurellionlabs.com,Aurellion_Labs,RougeShadow,AurellionLabs,0x7aBAD82D32870A5C377b6FB1C98e7EF5c9E6B429,0.0,1.0,False,False,True,True,True
['Web3 Open Source Software Round'],1,Fusion â€“ Open Source Web3 Icon Set,PENDING,https://fusion.li,schumanncombo,scco,drum-n-bass,0xBADCdDEA250f1e317Ba59999232464933C4E8D90,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,Seedle,PENDING,https://seedle.finance,SeedleFinance,laktek,SeedleFinance,0x5c34386552091744717b1C0154b9d48D35f5f435,,,True,False,False,False,True
"['Web3 Open Source Software Round' 'Web3 Social'
 'Global Chinese Community beta round']",3,POAPin,PENDING,https://poap.in,glorylaboratory,RockerFlower,glorylab,0x5Afc7720b161788f9D833555b7EbC3274FD98Da1,0.7695,0.2305,False,True,False,False,True
['Web3 Open Source Software Round'],1,FundPG,PENDING,https://fundpg.xyz,FundPG,jolow99,fundpg,0x12a5dcABbFaF963db743377937b3Ca00308600f2,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,Better - Github issues automated MicroGrants,PENDING,https://roadmap.betterhq.org/,betterdao,seichris,better-feedback,0xB7De690a60A968FC844148d75bFfF9716382b145,,,True,False,False,False,True
['Web3 Open Source Software Round'],1,Rave Names,PENDING,https://rave.domains,rave_names,Pokesi,rave-names,0x0f2B021E0A2a955ba296Df1B5E5B49d02a4A6A4b,,,True,False,False,False,True
['ZK Tech Round'],1,ZeroPool,PENDING,https://zeropool.network,zeropoolnetwork,snjax,zeropoolnetwork,0x947F8A49640B4770A8c7fE3C1E69FfC974295448,,,True,False,False,False,True
['ZK Tech Round' 'Web3 Social'],2,4EVERLAND,PENDING,https://www.4everland.org/,4everland_org,4everlandorg,4everland,0xA0f92821C3AC20FA71A701EfC5Ca5d3C82e29FeE,,,True,False,False,False,True
['ZK Tech Round'],1,Zero Knowledge Podcast,PENDING,https://zeroknowledge.fm,zeroknowledgefm,arrose,ZeroKnowledgefm,0x0b0E6486648FBBb8E9ab33e3ae9D0B44B6faa701,,,True,False,False,False,True
['ZK Tech Round' 'Web3 Community and Education'],2,404 DAO,PENDING,https://404dao.io,404DAO,0xManny,404-DAO,0x303b95c7c1968d90d4E0ee68E549e0e603C35Daf,,,True,False,False,False,True
['Climate Solutions'],1,Green Arks Foundation,PENDING,https://greenarks.org/,GreenArksFound,,,0x7de2b8D134fFf876E5bb8F5EB6F1A61D4fF43dbe,0.0,1.0,False,False,True,True,True
['Climate Solutions' 'Metacrisis' 'DeSci (Decentralized Science)'],3,GainForest: A Planetary Computer for ReFi powered by DeSci and AI,PENDING,https://gainforest.earth,gainforestnow,daviddao,GainForest,0xc741a5124549F38a72e3a56C7d5e68E481B75441,,,True,False,False,False,True
['Climate Solutions'],1,Green Digital Guardians,PENDING,https://dgguardians.com/,dg_guardians,dgguardians,Green-Digital-Guardians,0xDD8422dA958D7B9773B033717ECCCE0fBB26CE01,,,True,False,False,False,True
['Climate Solutions'],1,Test Grant: Save the Unicorns,PENDING,https://link.gitcoin.co/grantee,,,,0x991bD3952651cfF088de15876Aeaf6f81E9B65A2,,,True,False,False,False,True
['Climate Solutions'],1,UniZ,PENDING,https://mirror.xyz,,mik0777,,0x64018c676d3Fde078A568a38a9d49a5906c2Ab05,,,True,False,False,False,True
['Climate Solutions'],1,Ekonavi,PENDING,https://ekonavi.com,ekonavi_com,brenonavi,Ekonavi,0x934cA93d9380f7d72b84304b1b00ac192488590d,,,True,False,False,False,True
['ENS Ecosystem'],1,Faster API for resolving ENS names and avatars for web3 projects,PENDING,https://ensideas.com/about,frolic,holic,,0xC9C022FCFebE730710aE93CA9247c5Ec9d9236d0,,,True,False,False,False,True
['ENS Ecosystem'],1,Heavens Tools,PENDING,https://heavens.tools,DylanMeador,HeavensTools,,0xa74fc66E75f883Ee8e60E287335436ca8E6a303C,0.0,1.0,False,False,True,True,True
['ENS Ecosystem'],1,Esteroids - a community .eth websites search engine,PENDING,https://esteroids.eth.limo,e_steroids,eyalron33,esteroids,0x71c7252Cc1AfC181704ff7fDED27486f5cCd9205,,,True,False,False,False,True
['DeSci (Decentralized Science)'],1,Algovera,PENDING,https://algovera.ai,AlgoveraAI,richardblythman,AlgoveraAI,0x1aed8d16CD990555314EFAe9378e2c6d76519cc2,,,True,False,False,False,True
['DeSci (Decentralized Science)'],1,Seeds of Science,PENDING,https://theseedsofscience.org,science_seeds,,,0xB77a9bDAba2d00126021fc1fA74bc21C5C85704C,,,True,False,False,False,True
['DeSci (Decentralized Science)'],1,AxonDAO,PENDING,https://www.axondao.io,AxonDAO,,,0x9755398088d002A232f3C5954a8E1FFDF7B12dBA,,,True,False,False,False,True
['DeSci (Decentralized Science)'],1,Agua AI,PENDING,https://espacofacil.pt,EspacoFacil_,,,0x2d380F82545a278e4C6032bE192528754455b0a6,,,True,False,False,False,True
['Metacrisis'],1,Forby.io,PENDING,https://Forby.io,Forbyorg,DrSam,,0x4F739d93e4115D83e2DDdE315a9Af78Bf7Cb75F2,,,True,False,False,False,True
['Metacrisis'],1,diosdao.xyz by Mycelia : Indigenous Public Goods for Global Coordination,PENDING,https://linktr.ee/mycelia,mycelia_uni,Dagda-uni,mycelia-uni,0x89F8d69BD4E7580B505c87fF5690a4B9324f3033,0.9274,0.0726,False,True,False,False,True
['The Phantom Menace'],1,Upala ðŸ¤– Price-of-forgery digital identity,PENDING,https://docs.upala.id/en/latest/,TheUpala,porobov,upala-digital-identity,0xddB1CB4EdBCD83066Abf26E7102dc0e88009DEAB,,,True,False,False,False,True
['Token Engineering'],1,Oxcart Applied Research,PENDING,https://github.com/emjicy/Oxcart,emjicy,emjicy,Oxcart,0x75D923fBbC9d224ad4a92c370dCC60043010648f,,,True,False,False,False,True
['Token Engineering'],1,Tokenomics Design Space,PENDING,https://tokenomicshub.xyz,tokenomicsdao,fstrauf,,0x9bcF35BD44Cd5902bfa0738b7B2de12d09CC2DC9,,,True,False,False,False,True
['Web3 Community and Education'],1,Crypto Fundraising,PENDING,https://crypto-fundraising.info,Crypto_Dealflow,,,0xf2F099d2D133e2f3D1Ed8417Ca71E914a3185897,,,True,False,False,False,True
['Web3 Community and Education'],1,cp0x,PENDING,https://cp0x.com,cp0xdotcom,illlefr4u,,0x4c82cfF7398f3D43b36e41B10fF6F42b14DD9385,,,True,False,False,False,True
['Web3 Community and Education'],1,Ethereum Dominicana,PENDING,https://ethdom.eth.limo/,ethdominicana,,,0xa9aC44F20Dd34B183062f83788C44b6B060a7e3d,,,True,False,False,False,True
['Web3 Community and Education'],1,DAO Governance Collective,PENDING,https://www.notion.so/beepto/DAO-Governance-Collective-a4b56a0f0e2747f1a880d77f9575bd10?pvs=4,peerworkdao,,,0x57f66cd47fd9a156d17d971334659aa971642F49,0.0,1.0,False,False,True,True,True
['Web3 Community and Education'],1,Nowhere Publishing (NFT books with open access content),PENDING,https://nowherebooks.io,nowherepublish,,,0x14A118481f99A4ee63beaDd5a4DDB866BdB8E1D5,,,True,False,False,False,True
['Web3 Community and Education'],1,DHK dao,PENDING,https://dhk.org/en/declaration/,dhkdao,,,0x649fb8b9877b018A631c0D157a9F9436Aa4dA7a4,,,True,False,False,False,True
['Web3 Community and Education'],1,ATX DAO,PENDING,https://www.atxdao.com,atxdao,,,0x407Cf0e5Dd3C2c4bCE5a32B92109c2c6f7f1ce23,,,True,False,False,False,True
['Web3 Community and Education'],1,Week in Ethereum News,PENDING,https://weekinethereumnews.com,weekinethnews,abcoathup,WeekinEthNews,0x13ebd3443fa5575F0Eb173e323D8419F7452CfB1,,,True,False,False,False,True
['Web3 Community and Education'],1,DuaCrypto: The Premier Ethereum YouTube Channel,PENDING,https://duacrypto.com/,duacrypto,xdark21,,0xCfA8f21bE8F6347703f7c9e45b3E3c08Aaa5893E,0.0,1.0,False,False,True,True,True
['Web3 Community and Education'],1,Dot.alert(),PENDING,https://dot-alert.gitbook.io/dot.alert/,dot_alert,dot-alert,,0xd6A6b5Bac1e2eAc575b1B1bc066D9d6e384D7E50,,,True,False,False,False,True
['Web3 Community and Education'],1,Built Different,PENDING,https://www.builtdifferent.foundation,builtndifferent,TheGodOfAwesome,BuiltnDifferent,0x69fE151E5bA93590d87D31DE099BbF86bD95Bd7d,,,True,False,False,False,True
['Web3 Community and Education'],1,iCrypto Media,PENDING,https://icrypto.co.id/,icryptomedia,BadGenius22,,0x5A751848C08dD6c704Aa1d4B56a7135050c57312,,,True,False,False,False,True
['Web3 Community and Education' 'DeSci (Decentralized Science)'],2,Metagov,PENDING,https://metagov.org,metagov_project,metagov,metagov,0xd39D6d3F7433A0caBD90c0Ea74d76dA29b718314,0.8216,0.1784,False,True,False,False,True
['Web3 Community and Education'],1,Somer Esat Ethereum Staking Guides (Ubuntu),PENDING,https://someresat.medium.com,SomerEsat,SomerEsat,,0x32B74B90407309F6637245292cd90347DE658A37,,,True,False,False,False,True
['Web3 Community and Education'],1,ETH Kipu,PENDING,https://ethkipu.org,EthKipu,,,0xbA97F51B1B097Ce1EA43cf941Cd62dfbcD70Cae3,,,True,False,False,False,True
['Web3 Community and Education' 'DeSci (Decentralized Science)'],2,IberoAm: promoting and supporting iberoamerican impact projects,PENDING,https://linktr.ee/iberoam,iberoam_xyz,amrdavila,IberoAm,0x1E91264736008082BF63B6C20d36a93A329083D8,0.984,0.016,False,True,False,False,True
['Web3 Community and Education'],1,FIRST 721 CLUB,PENDING,https://www.first721.com,FIRST721CLUB,first721club,,0x0Fbc800aDE7c7569fA0A7aBC55Db46BabD2A2093,,,True,False,False,False,True
['Web3 Community and Education'],1,Boring Security,PENDING,https://boringsecurity.com,BoringSecDAO,BoringSecDAO,0xBoringSecurity,0x2e8E95DBEb137a24469e711079Ad483D081166F7,,,True,False,False,False,True
['Web3 Community and Education'],1,Burning Sissy Valley,PENDING,https://www.instagram.com/burningsissyvalley/,bsv_slc,,,0xc2e1C4749507C7918b6f2301251da4E21725e933,,,True,False,False,False,True
['Web3 Community and Education'],1,DeFi & Web3 Developer Roadmap,PENDING,https://github.com/OffcierCia/DeFi-Developer-Road-Map,officer_cia,OffcierCia,,0xB25C5E8fA1E53eEb9bE3421C59F6A66B786ED77A,,,True,False,False,False,True
['Web3 Community and Education'],1,zkpod.ai,PENDING,https://zkpod.ai,zkpodai,kobigurk,zkpodai,0x0aAaA801939Ea2B87fb84A44a0b93831F4476fE0,,,True,False,False,False,True
['Web3 Community and Education'],1,Machina,PENDING,https://machina.gg,Machina_NFT,,,0xc99f8A84a6CA0CbB9CE10C414861FF756a5Fa207,0.0,1.0,False,False,True,True,True
['Web3 Community and Education' 'Global Chinese Community beta round'],2,ç™»é“¾ç¤¾åŒº(Upchain),PENDING,https://learnblockchain.cn,NUpchain,xilibi2003,lbc-team,0xD6823f807C45eFDC56c9aE8Db0226CA10af6E8AB,0.5444,0.4556,False,True,False,False,True
['Web3 Community and Education'],1,EmprendeDAO,PENDING,https://www.emprendedao.io/,Emprende_dao,,,0xb423A138fD171c28d90A5883A01ec92fF3D63609,,,True,False,False,False,True
['Web3 Community and Education'],1,CreatorDAO,PENDING,https://www.creatordao.cc,creatordaocc,0xtaosu,creatordao-project,0x4a44a94dFcd91d6A269fEF0F167133f3231A7338,,,True,False,False,False,True
['Web3 Community and Education'],1,Meet Crypto,PENDING,https://www.meetcrypto.info,meetcryptoHN,,,0x1c8a540dC686d0e30063D0C69c55958558E27656,0.0,1.0,False,False,True,True,True
['Web3 Community and Education' 'ENS Ecosystem'],2,Metopia,PENDING,https://metopia.xyz,Metopia_xyz,,,0x3D6db46E3A98F1D996aeAc9bbfBa570D0a60b4F7,,,True,False,False,False,True
['Web3 Community and Education' 'Web3 Social'],2,Daolize,PENDING,https://daolize.com,daolize,,,0x2C80561e5387e883F5F3274Ea34a0b0CDF98D8c9,0.0,1.0,False,False,True,True,True
['Web3 Community and Education'],1,Defi Wars,PENDING,https://defiwars.xyz,defiwars_,,,0xC0264f1C54DC9A29707b3bd764fCc0e818433569,,,True,False,False,False,True
['Web3 Community and Education'],1,Andino,PENDING,https://pastoral-library-920.notion.site/Andino-Community-bc73966d631548989479b4d2cdc23cf9,andinodao,,,0x8d576F8C78FFa2dEc7adA30dc516FBd35D9A8972,,,True,False,False,False,True
['Web3 Community and Education'],1,Natives in Tech,PENDING,https://nativesintech.org,nativesintech,hollygrimm,nativesintech,0x2DeE5D7e77A1212b21139Bc1d98B249DCc52055D,0.9942,0.0058,False,True,False,False,True
['Web3 Community and Education'],1,ScrumDAO,PENDING,https://scrumdao.org,Scrum_DAO,,,0xe19102cab66EFcFAFE78FcEA936322AC5215B7F6,0.67936666666667,0.32063333333333,False,True,False,False,True
['Web3 Community and Education'],1,"forthepeoplexyz: good music, good causes, sounds good",PENDING,https://link.gitcoin.co/grantee,forthepeoplexyz,charmtaylorforthepeople,,0xa9dF7F37d9C2f0140A717430C01c00E6cc6CBd4d,0.0,1.0,False,False,True,True,True
['Web3 Community and Education'],1,Russia 3.0,PENDING,https://dao999nft.com,koshasuperstar,gHashTag,,0x0A91540efd651E8fbeb91FA5c6c31D7c20897C18,0.0,1.0,False,False,True,True,True
['Web3 Community and Education'],1,ai4news,PENDING,https://www.ai4news.xyz/w,ai4news_xyz,,,0x3dC7EA19d36Df2048331f4DbbbC12Ed4439B1f40,0.0,1.0,False,False,True,True,True
['Web3 Community and Education'],1,ProXify DAO,PENDING,https://proxify-dao.gitbook.io/proxify-dao/about-us/who-are-we,ProXifyDAO,ProxifyDAO,ProxifyDAO,0x2F776fb0171f8b921073916970886d9353D88321,0.0,1.0,False,False,True,True,True
['Web3 Community and Education'],1,The Neptune Project,PENDING,https://theneptuneproject.earth/,_NeptuneProject,jessicazartler,Curve-Labs,0x57E6cf96a2E99a3fdAa79Acc3A14fC9be1Eabc03,0.99855,0.00145,False,True,False,False,True
['Web3 Community and Education' 'Token Engineering'],2,DeFinomics Labs,PENDING,https://definomicslabs.com,DefinomicsLabs,,,0x9390fA8656A161442928b442300358D82bEC28b0,,,True,False,False,False,True
['Web3 Community and Education' 'Metacrisis'],2,Greenpill Podcast,PENDING,https://greenpill.party,owocki,owocki,,0x00De4B13153673BCAE2616b67bf822500d325Fc3,,,True,False,False,False,True
['Web3 Community and Education'],1,Advantage Blockchain,PENDING,https://www.advantageblockchain.com,AdvantageBlock1,,,0x3D92b8DFD192354a36720Bc57941bB006fc9ad3b,,,True,False,False,False,True
['Web3 Community and Education'],1,SEED Latam,PENDING,https://www.seedlatam.org,seedlatam,,,0xaf66321c8cce672c1140bf8C2D3C0DBC07C15C56,,,True,False,False,False,True
['Web3 Community and Education'],1,L2 en EspaÃ±ol,PENDING,https://mirror.xyz/layer2es.eth,Layer2es,,,0xCc167c4b4c4E2b72eE2Aedd7BfF9bd0B6eABdacB,,,True,False,False,False,True
['Mantle Grants 1'],1,MantleSwap,PENDING,https://www.mantleswap.org/,MantleSwap,,mantleswap,0x33200b9Ae7d97Df4269F9265939fCfcE5a29d7E0,,,True,False,False,False,True
['Ethereum Infrastructure'],1,ExplorerX,PENDING,https://explorerx.vercel.app,ExplorerX_HQ,irffanasiff,ExplorerX-xyz,0xA17C8c07fD62aFbf7B70D68a74a7772470a045ec,0.0,1.0,False,False,True,True,True
['Ethereum Infrastructure'],1,Lighthouse by Sigma Prime,PENDING,https://github.com/sigp/lighthouse,sigp_io,paulhauner,sigp,0xC9a872868afA68BA937f65A1c5b4B252dAB15D85,,,True,False,False,False,True
['Ethereum Infrastructure'],1,Creative Organization DAO,PENDING,https://creativeplatform.xyz,creativecrtv,sirgawain0x,creativeplatform,0x1Fde40a4046Eda0cA0539Dd6c77ABF8933B94260,0.0,1.0,False,False,True,True,True
['Ethereum Infrastructure'],1,EthStaker,PENDING,https://ethstaker.cc/,ethStaker,LamboshiNakaghini,eth-educators,0xD165df4296C85e780509fa1eace0150d945d49Fd,,,True,False,False,False,True
['Ethereum Infrastructure'],1,Chainlist,PENDING,https://chainlist.org/,DefiLlama,0xngmi,DefiLlama,0x08a3c2A819E3de7ACa384c798269B3Ce1CD0e437,,,True,False,False,False,True
['Ethereum Infrastructure'],1,wagmi,PENDING,https://wagmi.sh,wagmi_sh,tmm,wagmi-dev,0x4557B18E779944BFE9d78A672452331C186a9f48,,,True,False,False,False,True
['Ethereum Infrastructure'],1,Rhino Review - Ethereum Staking Journal,PENDING,https://rhinoreview.substack.com/,0xarmagan,0xarmagan,gnosischain,0xDEcf6615152AC768BFB688c4eF882e35DeBE08ac,,,True,False,False,False,True
['Ethereum Infrastructure'],1,Ape Framework,PENDING,https://apeworx.io,ApeFramework,fubuloubu,ApeWorX,0x187089b65520D2208aB93FB471C4970c29eAf929,,,True,False,False,False,True
['Ethereum Infrastructure'],1,Protocol Guild,PENDING,https://protocol-guild.readthedocs.io/en/latest/,ProtocolGuild,tvanepps,protocolguild,0xF29Ff96aaEa6C9A1fBa851f74737f3c069d4f1a9,,,True,False,False,False,True
['Ethereum Infrastructure'],1,PADO,PENDING,https://padolabs.org,padolabs,xiafubiao,pado-labs,0x64339fAF15A423087B3dce7e4DB503Aafc4e681C,,,True,False,False,False,True
['Ethereum Infrastructure' 'Mantle Grants 1'],2,Blobscan,PENDING,https://blobscan.com,Blobscan,0xGabi,Blobscan,0xA2a4B583782b8523ec563A4E42319C40c2B7A29C,0.0,1.0,False,False,True,True,True
['Ethereum Infrastructure'],1,ethers.js,PENDING,https://ethers.org,ricmoo,ricmoo,ethers-io,0x8ba1f109551bD432803012645Ac136ddd64DBA72,,,True,False,False,False,True
['Ethereum Infrastructure'],1,Dapplet,PENDING,https://dapplet.app,dappletapp,tjvsx,dapplet,0xE02Aae2CC50763b22E268593237ef822339853Cf,,,True,False,False,False,True
['Ethereum Infrastructure' 'ENS Ecosystem'],2,Otterscan,PENDING,https://otterscan.io,otterscan,otterscan,otterscan,0xb7081Fd06E7039D198D10A8b72B824e60C1B1E16,,,True,False,False,False,True
['Ethereum Infrastructure'],1,Innovaz,PENDING,https://innovaz.io/,Innovaz_io,tramvm,Innovaz-platform,0x1f524884301931a01B2b2150Ea30F886C2eC98e9,,,True,False,False,False,True
['Ethereum Infrastructure'],1,Prettier Solidity,PENDING,https://github.com/prettier-solidity/prettier-plugin-solidity,PrettierSol,fvictorio,prettier-solidity,0xFc756d8632A19CEbd76560CE0A6967279E32131b,,,True,False,False,False,True
['Ethereum Infrastructure'],1,DAppNode,PENDING,https://dappnode.com,dappnode,chuygarcia92,dappnode,0x53390590476dC98860316e4B46Bb9842AF55efc4,0.0,1.0,False,False,True,True,True
